en,bn
Mayerai,মায়েরাই
JoRanota,জড়ানোটা
Opoghate,অপঘাতে
Krirabidke,ক্রীড়াবিদকে
Shikhkhamontri,শিক্ষামন্ত্রী
CCD,CCD
Jongolmohol,জঙ্গলমহল
Gilmar,গিলমার
Debotto,দেবত্ব
Thandakeo,ঠান্ডাকেও
Deshbirodhir,দেশবিরোধীর
Selimero,সেলিমেরও
Gheratop,ঘেরাটোপ
Shoudorjer,সৌন্দর্য্যের
Abdullar,আবদুল্লার
Sensible,সেনসিবল
Workshoper,ওয়র্কশপের
Jhor,ঝ়়ড়
Ondhokarmoy,অন্ধকারময়
Eneo,এনেও
Uff,উফ্‌
Mondivut,মন্দীভূত
Dialysiser,ডায়ালিসিসের
Foronbishke,ফড়ণবীশকে
Boyaneo,বয়ানেও
Roktokoborir,রক্তকরবীর
Fasijomer,ফ্যাসিজমের
Eksho chuattorti,১৭৪টি
Kole,কোলে
Metro O,মেট্রোও
Nikahnamatei,নিকাহনামাতেই
IAS ,আইএএস
Gotir,গতির
Chair,চার্লসের
oily,তৈলাক্ত
Congested ,গাদাগাদা
Du-tukro,দুটকরো
Bahinir,বাহিনির
Chitale,চিতালে
Best,বেস্ট
Protinidhi-keo,প্রতিনিধিকেও
Bekti-o,ব্যক্তিও
317,৩১৭
Oshlil,অশ্নীল
Gonshar ,গণশার
Aimar,আইমার
Meghdut,মেঘদূত
Devidson er,ডেভিডসনের
Romanthon,রোমান্থন
Pujibad,পুঁজিবাদ
Boiyer,বইয়ের
Utpadon er,উত্পাদনের
nachte,নাচতে
durgapujor,দুর্গাপুজোর
chapuk,চাপুক—
Platini,প্লাতিনি
tarabe,তাড়াবে
biporjoyke,বিপর্যয়কে
byapto,ব্যাপ্ত
waterer,ওয়াটারের
nemechilo,নেমেছিল
pothoshishur,পথশিশুর
deyano,দেওয়ানো
unnawayer,উন্নাওয়ের
berajal,বেড়াজাল
prapter,প্রাপ্তের
shon,শন
shriya,শ্রীয়া
lufthansa,লুফথানসা
shashonke,শাসনকে
gyaloner,গ্যালনের
konishthoti,কনিষ্ঠটি
duishotochechollish,২৪৬
turnamenti,টুর্নামেন্টই
bandta,ব্যান্ডটা
টেবিল,আইনসম্মত
Producers,উৎপাদকেরা
Airfighters,বায়ুসেনার
,টুইটগুলি—
,কমলবাবুর
,জবির
Bangladesh's,বাংলাদেশর
On Development,নির্মীয়মাণ
Glittering ,চাকচিক্যে
,সুশান্তবাবুর
,স্মৃতিভ্রংশের
,মাদুরাই
,ব্যবহারকারীদের
,आएंगे
nobodompotti,নবদম্পতী
hegei,হেগেই
tyakshal,টাঁকশাল
rasogolla,রসগোল্লা
sunirman,সুনির্মাণ
cartoonkando,কার্টুনকাণ্ড
choritrero,চরিত্রেরও
bechal,বেচাল
songsarti,সংসারটি
mairi,মাইরি
birrao,বীররাও
agnibha,অগ্নিভ
sahebsuboder,সাহেবসুবোদের
allowed,অ্যালাউড
patoari,পাটোয়ারি
niyontronbad,নিয়ন্ত্রণবাদ
mukhocchobi,মুখচ্ছবি
uddesshe,উদ্যেশ্যে
srosta,স্রষ্টা
joganer,যোগানের
Had done,করছেল
Years',বছরগুলির
One Day's,একদিনের
,ডার্ক
With smiling face,হাসিমুখে
GPO,জিপিও
Kalporbokei,কালপর্বকেই
Khelben e,খেলবেনই
Sonketo,সঙ্কেতও
Juktora,যুক্তরা
Tuleche,তুলছে
Mishte,মিষ্টে
Mittir,মিত্তির
KorOna,কমিশনে
tarnar,টার্নার
mamabarir,মামাবাড়ির
sindhantokeo,সিদ্ধান্তকেও
ulkapotone,উল্কাপতনে
priongkar,“প্রিয়ঙ্কার
romance,রোমাঞ্চে
ukti,উক্তি
procolito,প্রচিলত
orajnoitik,অরাজনৈতিক
Slaughter-house,স্লটারহাউস
Hullor,হুল্লোড়ের
Dealer ,ডিলার
Web,ওয়েব
Kunjwala,কুঁজওয়ালা
Gujguj,গুজগুজ
Otoyi,অতই
Omproksaher ,ওমপ্রকাশের
Byakoronbidhi,ব্যাকরণবিধি
Ashar,আশার
Basil,BASIL
Mrinaler,মৃণালের
Chomoko,চমকও
Thimmayiya,থিম্মাইয়া
Chakladar,চাকলাদার
Malar,মালার
Contreras,কনট্রেরাস
Journal ,জার্নাল
Toridahoto,তড়িদাহত
Shilpobirodhi,শিল্পবিরোধী
Pyaarichaand,প্যারীচাঁদ
CCPer,সিসিপিএর
Ashbab,আসবাব
Phutiyeche,ফুটিয়েছে
Bogoleo,বগলেও
Biotica,বায়োটিক
Chnireche,ছিঁড়েছে
duct,ডাক্ট
Horirampur er,হরিরামপুরের
Netralayer,নেত্রালয়ের
Roka,রোকা
Sayonke,সায়নকে
Haapish,হাপিশ
Chowhodditey,চৌহদ্দিতে
Intervaler,ইন্টারভ্যালের
Shobjatra,শবযাত্রা
Natabarite,নাটাবাড়িতে
Abhibashoner,অভিবাসনের
Awdhir,অধীর
Aatmyoshomorpon,আত্মসমর্পণ
Aarbaaj,আরবাজ
Du Lokkho,২লক্ষ
Playerder,প্লেয়ারদের
Kalyangawr,কল্যানগড়
Shomaj-tottowbid,সমাজতত্ত্ববিদ—
Dhakna,ঢাকনা
Nikko,নিক্কো
Shukkhyati-ee,সুখ্যাতিই
Kobja,কবজা
Shiboraj,শিবরাজ
Sresthoder,শ্রেষ্ঠদের
Geetasree'r,গীতশ্রীর
Shunshan,শুনশান
Krishnendubabu,কৃষ্ণেন্দুবাবু
Protibedok'der,প্রতিবেদকের
Grretings,গ্রিটিংস
Variety-ee,ভ্যারাইটিই
Goli,গলি
Dawsha,দশা
Baki,বাকি
Boraater,বরাতএর
Affected,অ্যাফেক্টেড
Bhaluka,ভালুকা
Grossing,গ্রসিং
Pukurer,পুকুরের
Paik,পাইক
Important,ইম্পর্টেন্ট
Shobdobondho,শব্দবন্ধ
Metiaburuj'er,মোটিয়াবুরুজের
Brojesh,ব্রজেশ
Bodrokto,বদরক্ত
Teeraashi' te,৮৩তে
Korondighi,করনদিঘী
Ensemble'er,অনসম্বলের
Naam'o,নামও
Gotitei,গোতিই
Sasthyobhobon-ei,স্বাস্থ্যভবনেই
thaaklen,থাকলেন
Ujjho-ee,উহ্যই
Sewer,সিইওর
Dhongshoshila-ee,ধ্বংসলীলাই
Rayat-ei,রায়তেই
Shohojogi,সহযোগী
Proshashonkei,প্রশাসনকেই
saathe,সাথে
Mechanics,মেকানিকস
Punoh-promaan,পুনঃপ্রমাণ
Khudha,ক্ষুধা
Uttenjona'r,উত্তেজনার
Anupamkeo,অনুপমকেও
Ranawat,রানাওয়াত
Kiriya,কিরিয়া
Kaatleo,কাটলেও
Roshayon,রসায়ন—
Shawrashtromontri ke,স্বরাষ্ট্রমন্ত্রীকে
Aryan'der,আরিয়ানের
Booking-e,বুকিংয়ে
Heritage,হেরিটেজ
Ekangshero,একাংশেরও
Australia-e,আস্ট্রেলিয়ায়
Jurlo,জুড়ল
Koyeker,কয়েকের
Dudhkumar,দুধকুমার
Nibeditadebi,নিবেদিতাদেবী
Khatatei,খাতাতেই
Nadvi,নাদভি
Kutubuddin,কুতুবউদ্দিন
rajen,রাজেন
valobasi,ভালবাসি”
bojheni,বোঝেনি
soyongseboker,স্বয়ংসেবকের
shokprostab,শোকপ্রস্তাব
badhiyechilen,বাধিয়েছিলেন
hotlen,হটলেন
valobasb,ভালবাসব
chitiyei,ছিটিয়েই
soyongsebok,স্বয়ংসেবক
obas,ওবাস
somobedona,সমবেদনা
shahriyar,শাহরিয়ার
khawacche,খাওয়াচ্ছে
poddotite,পদ্ধতিতে
suleman,সুলেমান—
letare,লেটারে
ramdhonur,রামধনুর
khelanoi,খেলানোই
dhalaye,ঢালাইয়ে
songskrriti,“সংস্কৃতি
libraryro,লাইব্রেরিরও
boothmukho,বুথমুখো
shorafer,শরাফের
kommoti,কম্মটি
federaler,ফেডারেলের
sinhake,সিন্হাকে
porashonaro,পড়াশোনারও
cokro,চক্র
khujechilam,খুঁজেছিলাম
distributorra,ডিস্ট্রিবিউটররা
ren,রেন
onushilonroto,অনুশীলনরত
onushilonroto,অনুশীলনরত
national,ন্যশনাল
inningsta,ইনিংসটা
monomalinyoo,মনোমালিন্যও
istehare,ইস্তেহারে
elice,এলিস
premikara,প্রেমিকারা
jellar,জেল্লার
prochar,“প্রচার
venge,ভেঙ্গে
roha,রহা
kompanyr,কোম্পানীর
protitir,প্রতিটির
mirjiya,মিরজিয়া
striker,স্টাইকার
janjoter,জানজটের
goneshbaba,গণেশবাবা
Loben,লোবেন
Dirghodehi,দীর্ঘদেহীই
Jodi,“যদি
Sirisenao,সিরিসেনাও
Bhodrota,ভদ্রতা
Golmaal,গোলমাল
Sheikh,শেইখ
Buke,বুকে
Dour,দৌঁড়
Dairyteo,ডায়েরিতেও
Montrimoshaier,মন্ত্রীমশাইয়ের
Thnatlano,থ্যাঁতলানো
Alapanbabuke,আলাপনবাবুকে
Tulsipata,তুলসিপাতা
Blow,ব্লো
Bidhir,বিধির
Robarer,রবারের
Sovieter,সোভিয়েতের
Akbarkeo,আকবরকেও
Khadyonali,খাদ্যনালি
Laliya,লালিয়া
Dourodouriteo,দৌড়োদৌড়িতে
Fob,ফোব
Looks,লুক্‌স
Coupleder,কাপ্‌লদের
,সাহায্যে
,নামানো
,ডেইলিহান্ট
Gymnastic,জিমন্যাস্টিক
ghurte,ঘুরতে
koratei,করাতেই
sukkhatio,সুখ্যাতিও
Lokder,লোকদের
Voting,ভোটিং
perek,পেরেক
chonde,ছন্দে
bebsha,ব্যাবসা
kisscam,কিসক্যাম
revolver e,রিভলভারে
protimamurtir,প্রতিমামূর্তির
platelet er,প্লেটলেটের
jadejara,জাদেজারা
ordinationer,অর্ডিনেশনের
komoler,কমলের
shuvash da,সুভাষদা
ajitar,অজিতার
bishodhor,বিষধর
pocket,পকেট
Shikdar,শিকদার
chhanir,ছানির
Senieo,সেনিয়েও
indexke,ইনডেক্সকে
TusuDebir,টুসুদেবীর
blatarder,ব্লাটারদের
shoshikanto,শশীকান্ত
chhottuke,ছোট্টুকে
dhupkathir,ধুপকাঠির
basecampey,বেসক্যাম্পে
solium,সোলিয়াম
modified,মোডিফায়েড
modified,মোডিফায়েড
alada,আলাদা
alada,আলাদা
dharonati,ধারণাটিই
nijalni,নিহালনি
cartoon ti tey,কার্টুনটিতে
patthyoboi,পাঠ্যবই
bodyguard,বডিগার্ড
loot,লুট
abort,অ্যাবর্ট
kosaikhanaguli,কসাইখানাগুলি
kejriwalkeo,কেজরীবালকেও
khatal,খাটাল
khudeti,খুদেটি
shehola,শেহলা
Shibirgulite,শিবিরগুলিতে
Euriner,ইউরিনের
Manobik,মানবিক
Nirshongshotaar,নৃশংসতার
Aankher,আঁখের
Pithta,পিঠটা
3300,৩৩০০
Haalkhata,হালখাতা
Kaarigorkei,কারিগরকেই
Dianao,ডায়ানাও
12 ghonta,১২ঘণ্টা
,দাসও
Das o,দাসও
Kharap gulo,খারাপগুলো
Ongshogrohon,অংশগ্রহন
,{{ word }}
,{{ word }}
,{{ word }}
,{{ word }}
Word,জামসেদপুরের
Shobdo,স্বচ্ছন্দ্য
Mahendar,মহেন্দর
Gongapujo,গঙ্গাপুজো
Tathya,তথ্য৷
Bhojpurita,ভোজপুরীটা
Aankte,আঁকতে
Korbei,করবেই
Baandhchhen,বাঁধছেন
Baanchan,বাঁচান
Jdi ,শিবিরও
Beggars,ভিক্ষুকরা
Influenced,অনুপ্রাণিত
Khame,খামে
Khodderder,খদ্দেরদের
Bibhaboti,বিভাবতী
Fyasbendaro,ফ্যাসবেন্ডারও
Ride e,রাইডে
Bondel,বন্ডেল
Bondbabajike,বন্ডবাবাজিকে
Radar,রেডার
Kishorider,কিশোরীদের
Konotate,কোনওটাতে
Dosturmoto,দস্তুরমতো
Sonkotaponno,সংকটাপন্ন
Puriyechilen,পুড়িয়েছিলেন
Gumpha,গুম্ফা
Obnoxious,ছহাজার
Gorilla,কার্বস
Bekarotwo,বেকারত্ব
1843,১৮৪৩
Basen,বাসেন
Negative,নেগিটিভ
Reddyke,রেড্ডিকে
Ekfali,একফালি
Khadijar,খাদিজার
Ghatchhe,ঘাটছে
Porashona,প়ড়াশোনা
Octarlonir,অক্টারলোনির
AICC,এআইসিসি
Kheter,ক্ষেতের
Gachhtakei,গাছটাকেই
Kushputuler,কুশপুতুলের
Dokkhineo,দক্ষিণেও
Majumdarer,মজুমদারের
Kushilobra,কুশীলবরা
Barahoti,বারাহোতি
Shishuchhatrir,শিশুছাত্রীর
9979,৯৯৭৯
Myarmyare,ম্যাড়মেড়ে
Mohanbagan,মোহনবাগান
Sompadokiyo,সম্পাদকীয়
Metan,মেটান
Uthiechhen,উঠিয়েছেন
Jonogononar,জনগণনার
Sudiper,সুদীপের
Banglay,বা‌ংলায়
Girjatei,গির্জাতেই
Shodhanagare,শোধনাগারে
Monohputo,মনঃপুত
Othocho-,অথচ—
Krshnapoksher,কৃষ্ণপক্ষের
Onyanyo,অন্য়ান্য
Apos,আপস
Bhoganti,ভোগান্তিু
Rasayonik,রাসায়নিক—
Pourohityo,পৌরোহিত্যে
Dangay,দাঙ্গায়
Erie,এড়িয়ে
Police,পুলিশে
Bismoroner,বিস্মরণের
Narire,নারীরই
Interim,ইন্টেরিম
Tajel,তাজেল
7000,৭০০০
A,এ
Shena,শেনা
Imposition,ইম্পোজিশন
Obhishapke,অভিশাপকে
Prostutkarokder,প্রস্তুতকারকদের
Rajnitikorono,রাজনীতিকরণও
Grenadetio,গ্রেনেডটিও
Paiteke,পাইতেকে
Kalche,কালচে
Sarol,সারল
Graphta,গ্রাফটা
Nonta,নোনতা
2019,“২০১৯
Hafiful,হাফিফুল
Dataset,উৎসবেও
Paurutir,পাউরুটির
Koyekghonta,কয়েকঘণ্টা
1911,১৯১১
Skheponastrotike,ক্ষেপণাস্ত্রটিকে
Basahin,বাসাহীন
Mohadik,মহাদিক
Gorgor,গরগর
Opta,অপ্টা
Scorecard,স্কোরকার্ড
Bibortito,বিবর্তিত
Policer,পুলিশের৷
Policer,পুলিশের৷
Cricketerderi,ক্রিকেটারদেরই
Outram,আউট্রাম
WBSCTC,WBSCTC
Monostotto,মনস্তত্ব
Pochhechhe,পৌছেছে
Mohendro,মহেন্দ্র
Sadharonoto,সাধারণত
Sexualityr,সেক্সুয়ালিটির
Morsumta,মরসুমটা
Talkana,তালকানা
Sottweopalito,সত্ত্বেওপালিত
Der,“দেড়
Bidhiboddho,বিধিবদ্ধ
Loganer,লোগানের
Shahid,শাহিদ
Bokmai,বোকামি
Loknathero,লোকনাথেরও
Unisex,ইউনিসেক্স
Kirtikolaper,কীর্তিকলাপের
Sontrasbader,সন্ত্রাসবাদের
Mirzar,মির্জার
Bachaoe,বাঁচাওএ
Butterflyte,বাটারফ্লাইতে
Domer,দমের
Parvejer,পারভেজের
Byatibyasto,ব্যতিব্যস্ত
Saklin,সাকলিন
Sodar,সোডার
Doridro,দরিদ্র
Durexer,ডুরেক্সের
Jolotoler,জলতলের
Shiggir,শিগগির
Unadkot,উনাদকট
Inono,ইনোনো
Maxcure,ম্যাক্সকিয়োর
Bihari,বিহারী
Boomerang,ব্যুমেরাং
Ultras,আল্ট্রাস
Festivalgulite,ফেস্টিভ্যালগুলিতেও
Ingiter,ইঙ্গিতের
Jiggasabader,জিঞ্জাসাবাদের
Teneo,টেনেও
Dikinson,ডিকিনসন—
Setu,‍সেতু
Lakshmibare,লক্ষ্মীবারে
Jitboi,জিতবই
Bholano,ভোলানো
Bocchortao,বছরটাও
414,৪১৪
Kripalabher,কৃপালাভের
Zafarer,জাফরের
Quotai,কোটাই
Sufolta,সুফলটা
Bhabao,ভাবাও
Dhrupodi,ধ্রুপদী
Rongpur,রংপুর
Erajyeo,এরাজ্যেও
Hisebei,হিসেবই
114jon,১১৪জন
Kerechhen,কেড়েছেন
Shantar,শান্তার
Ichchhapuroner,ইচ্ছাপূরণের
Uthlo o,উঠলও
Yuvarajer,যুবরাজের
Kormosutrei,কর্মসূত্রেই
Dilipbabudero,দিলীপবাবুদেরও
Oishwarik,ঐশ্বরিক
Jomiyechhilen,জমিয়েছিলেন
Shoborimalay,শবরীমালায়
Yashr,যশরাজ
Pocketo,পকেটও
Rabada,রাবাদা
Hutchison,হ্যাচিসন
Dourolei,দৌড়লেই
Samprotikkale,সাম্প্রতিককালে
Marlon,মার্লন
Moddhorate,মধ্যরাত
Staffroom,স্টাফরুম
Giya,গিয়া
Ireland,আয়ারল্যান্ড
9W4720,9W472
KOTHA,কোথা
Neerangshu,নীরাংশু
Baichitromoy,বৈচিত্রময়
Betting,বেটিং
Boyeri,বয়েরই
Biswabroto,বিশ্বব্রত
Niomkei,নিয়মকেই
Bondider,বন্দিদের
Sadhonadevike,সাধনাদেবীকে
Hartao,হারটাও
West,ওয়েস্ট
THIS,THIS
Doftorgulite,দফতরগুলিতে
"""Amader",“আমাদের
,টুম্পাকে
,কুমারটুলির
gongatirer,গঙ্গাতীরের
osommani ,অসম্মানই
kosmetics ,কসমেটিক্স
kateni,কাটেনি
relgarike,রেলগাড়িকে
161,১‍৬১
maisorke,মাইসোরকে
gardarer ,গার্ডারের
target ,টার্গেট
sorirchorchar,শরীরচর্চার
talaparke,টালাপার্কে
umarke,উমারকে
bangar,বাঙ্গার
aripata,আড়িপাতা
manushgulor,মানুষগুলোর
Unnotomaner,উন্নতমানের
loadshedding,লোডশেডিং
togbog,টগবগ
bokachoda,টাইমেই
Fly,মচ্ছি
Fat,মোটা
Killer ,হত্যাকারী
buro,বুড়ো
rajjyapalrao,রাজ্যপালরাও
rupom,রূপম
probader,প্রবাদের
palonio,পালনীয়
Mosquito,জার্সিধারীর
straight,স্ট্রেট
Free,বিনামূল্য
Municipality ,পৌরসভা
According to,অনুযায়ী—
Lukaku,লুকাকু
Promodnagore,প্রমোদনগরে
didimoni,দিদিমনি
Bohiragoter,বহিরাগতের
promoterio,প্রোমোটারিও
Bhanubhaban,ভানুভবন
Chokhrangani,চোখরাঙানি
Manojkumar,মনোজকুমার
bidyaloy,লুসিয়ানোও
bajar,মজুমদার৷যোগ
sensible,সেনসিবল
biponibitan,বিপণীবিতান
balikao,বালিকাও
sniritei,সিঁড়িতেই
penting,পেন্টিং
cheye,চেয়ে
habita,হ্যাবিটা
pipeline,পাইপলাইন
torita,তরিতা
sd,এসডি
Samorthya,সামর্থ্যের
Sheishongei,সেইসঙ্গেই
Shorbonimno,সবর্নিম্ন
Crossing,ক্রশিং
Koreo,করেও
Bishopke,বিশপকে
Iit,IIT
Wahida,ওয়াহিদা
Gujarat,গুজরাট
Sp,SP
Pijush,পিযূষ
Bondukbaj,বন্দুকবাজ
Oboshader,অবসাদের
Nepalio,নেপালিও
Rabonbodher,রাবণবধের
Krishno proshad babu,কৃষ্ণপ্রসাদবাবু
Chitro,ছিত্র
Vashiyechilo,ভাসিয়েছিল
Toridahoto,তড়িদাহত
Oddahyer,অধ্যায়ের
Sathei,সাথেই
Michilei,মিছিলেই
Paatbari,পাটবাড়ি
Golagolite,গলাগলিতে
Noshtou,নষ্টও
Mondir margo,মন্দিরমার্গ
Vabon,ভাবন
Richarder,রিচার্ডের
Koboch,কবচ
Chagol,পিআরটি
Storeguloi,স্টোরগুলোয়
Breed,ব্রিড
Ganoprohare,গণপ্রহারে
Dhareni,ধারেনি
Sarada,“সারদা
Magnakartao,ম্যাগনাকার্টায়
Expert,এক্সপার্ট
Maliwal,মালিওয়াল
Terotei,তেরোতেই
Dekhalo,দেখালো
Esd,ইএসডি
Barate,বাড়াটে
Sachibalayei,সচিবালয়েই
Unoashiti,৭৯টি
Uthiyefelte,উঠিয়েফেলতে
Sarbochchostore,সর্বোচ্চস্তরে
Metropolitan,মেট্রোপলিটন
Nupur,নুপূর
Byapok,ব্যাপক
Buddhodebbabur,বুদ্ধদেববাবুর
Chhobitate,ছবিটাতে
Ullekh,উল্লেখ
Jothopojukto,যথোপোযুক্ত
Panaji,পানাজি
Robbarer,রোববারের
Kawjoner,কজনের
Sariye,সারিয়ে
Subsidy,সাবসিডি
Lankajoye,লঙ্কাজয়ে
shouchagare,শৌচাগারে
idaningkale,ইদানীংকালে
majaro,মাজারও
prokriyakoron,প্রক্রিয়াকরণ
madhyomeroi,মাধ্যমেরই
shooting,শুটিং
nehrake,নেহরাকে
mohanayokye,মহানায়কএ
giyarke,গিয়ারকে
resorte,রিসর্টে
augmentin,অগমেন্টিন
kishorar,কিশোরার
7660,৭৬৬০
sarthe,স্বার্থে
melleo,মেললেও
senderer,সেন্ডারের
alokchitri,আলোকচিত্রী
chele meyerao,ছেলেমেয়েরাও
ajhari,আজহারই
etare,এটারই
drishtanto,দৃষ্টান্ত
2006,২০০৬
golsongkha,গোলসংখ্যা
barnpure,বার্নপুরে
south,সাউথ
borofthanda,বরফঠান্ডা
artite,আরতিতে
boneri,বোনেরই
goyal,গয়াল
manche,মানছে
biman bondorei,বিমানবন্দরেই
gol shikari,গোলশিকারী
U,সমন্বয়
You,সিএমও
Petronas,মধ্যাহ্ণভোজের
Judgement ,রায়৷
Evil,ডাইন
Garbage,অর্বজনা
Msc,এমএসসি
Hilibili,হিলিবিলি
Porone,পরণে
gosthidonder,গোষ্ঠীদ্বন্দ্বের
bortomane,বতর্মানে
somprosaroner,সম্প্রসারণের
Fake,বানিয়া
Test,পেপারব্যাক
Harshness,উগ্রতা
Snacks,স্ন্যাকস্‌
Mohanayikar,মহানায়িকার
dutoteo,২টোতেও
Itcher,ইচের
Durbinito,দুর্বিনীত
days,ধনকুবেরদের
Morning ,ছদ্মবেশীতে
Bazaar ,দেবসেনাকে
Market ,ইরানিকে
Juta,মোটা
Utube,ইউডিউব
Chester,চেস্টের
Shochetonar,সচেতনার
Nirjosh,নির্যস
Gaanmela,গানমেলা
Theko,থেকো
Milonei,মিলনেই
Majhratre,মাঝরাত্রে
Hoyto,হয়তও
Pudinapata,পুদিনাপাতা
Nireekkhao,নিরীক্ষাও
Kortali,করতালি
Laddu,লাড্ডু
Chahiye,चाहिए
Dorshonke,দর্শনকে
Bimaanbhada,বিমানভাড়া
Porjayei,পর্যায়েই
Mohanubhobota,মহানুভবতা
Ghumono,ঘুমনো
Raashleela,রাসলীলা
Roy,স্বৈরাচারীর
bahat,বাঁহাত
somudrosoikot,সমুদ্রসৈকত
roktopato,রক্তপাতও
eko,ইকো
vutattik,ভূতাত্ত্বিক
lopireva,লোপিরেভা
tonoyar,তনওয়ার
thutniTa,থুতনিটা
garrnar,গার্নার
soyeshbari,সোয়েশবারি
maRiye,মাড়িয়ে
storke,স্তরকে
durrghoTonao,দুর্ঘটনাও
eksongeo,একসঙ্গেও
khadaner,খাদানের
motshoprem,মত্‍স্যপ্রেম
inca,ইনকা
bhoner,বোনের
alishay,আলিশায়
potropotrika,পত্রপত্রিকা
horek,হরেক
kheyeche,খেয়েছে
bohualochito,বহুআলোচিত
shoshi,শশী
পর্বতারোহণও,পর্বতারোহণও
Shonachchhen,শোনাচ্ছেন
Aichke,আইচকে
Diarrhea e,ডায়রিয়ায়
Porikathamote,পরিকাঠামোতে
Juddhong,যুদ্ধং
Porishebaguli,পরিষেবাগুলি
Shomikkei,শমীককেই
mamlakarider,মামলাকারীদের
hoyeiche,হয়েইছে
chobochorer,ছ‍বছরের
gurujonder,গুরুজনদের
dui ---,২—
wri,ঋ
jodugrihei,জতুগৃহেই
Phoron,ফোড়ন
Glyamarer,গ্ল্যামারের
Vyalio,ভ্যালিও
Tarkanta,তারকাঁটা
Dharshokra,ধর্ষকরা
Niyomgulo,নিয়মগুলো
Paoli,পাওলি—
Dragke,ড্রাগকে
Swajonke,স্বজনকে
Banijyokendrer,বাণিজ্যকেন্দ্রের
Chandrimake,চন্দ্রিমাকে
Upre,উপড়ে
Lorechilo,লড়েছিল
Neelangshu,নীলাংশু
Bandyopaddhyarer,বন্দ্যোপাধ্যায়য়ের
Gopaler,গোপালের
Sohosro,সহস্র
tarao,তাঁরও
bahubolideri,বাহুবলীদেরই
korara,করারা
lockdown,আশু
punjaber,প়ঞ্জাবের
ponchanon,পঞ্চানন
godara,গোদারা
"""Indian",“ইন্ডিয়ান
Suranjan,সুরঞ্জন
Gimic,গিমিক
Melaben,মেলাবেন
Guptachorbrittir,গুপ্তচরবৃত্তির
Pouchholen,পৌঁছলেন
Shobdo-,শব্দ—
Gangajol,গঙ্গাজল
Macgoander,ম্যাকগোয়ানের
Officerkeo,অফিসারকেও
Uthlei,উঠলেই
Durdantobhabei,দুর্দান্তভাবেই
Palash,পলাশ
Somoyer,সময়ের
Tejoskriyo,তেজস্ক্রিয়
Boitoronir,বৈতরণীর
Obhijukteri,অভিযুক্তেরই
Yuvraj,যুবারজ
kanbhanganoy,কানভাঙানোয়
sobhanetri,সভানেত্রী
pannuke,পন্নুকে
bendhechhe,বেঁধেছে
goli,গোলি
Sivkanta,শিবকান্ত
nijerai,নিজেরাই
jurolo,জুড়োল
ostrogulo,অস্ত্রগুলো
tarate,তাড়াতে
morganer,মর্গানের
Chinsura,চুঁচুড়া
Chumuke,চুমুকে
Flexguli,ফ্লেক্সগুলি
bocchorchhoyek,বছরছয়েক
hotyakari,হত্যাকারী
Yograj,যোগরাজ
Pichkari,পিচকারি
Reporto,রিপোর্টও
Sheshkrityei,শেষকৃত্যেই
Morgan,মর্গান
Jounopollir,যৌনপল্লির
Orumuga,অরুমুগা
Banaguli,বানাগুলি
Probonotar,প্রবণতার
Kirtiman,কীর্তিমান
fellowship,ফেলোশিপ
dokandar,দোকানদার
Corporate,কর্পোরেটের
bere,বেড়ে
Moldware,মলদ্বারে
Porishodiyo,পরিষদীয়
Yamrajer,যমরাজের
Prohorira,প্রহরীরা
Rajkormocharider,রাজকর্মচারীদের
Protijogitahin,প্রতিযোগিতাহীন
ekke,এককে
Ballyghatar,বালিঘাটার
Govinda,গোবিন্দা
Jafrirao,জাফরিরাও
Nirbhorotar,নির্ভরতার
Bakery er,বেকারির
ekbakyo,একবাক্য
Ganjar,গাঁজার
Modi,मोदी
Kroshe,ক্রোশে
Abokkho,আবক্ষ
Stipender,স্টাইপেন্ডের
Rajapur,রাজাপুর
Otiprakritorai,অতিপ্রাকৃতরাই
Zimbabwe,জিম্বাওয়ে
Runtiteo,রানটিতেই
Pandian,পান্ডিয়ান
Shaibalendu,শৈবালেন্দু
Afjal,আফজল
Lokra,লোকরা
Chakurio,চাকুরিও
Oaak,ওয়াক
Dourbirero,দৌড়বীরেরও
0,ও
Komanor,কমানোর
chhota,ছটা
Khelowarsulov,খেলোয়াড়সুলভ
Myajagon,ম্যাজাগন
Iqbalkeo,ইকবালকেও
Mukhyo,মু্খ্য
Bojhabe,বোঝাবে
Janowar,জানোয়ার
Congress neta,কংগ্রেসনেতা
Fatboy,ফ্যাটবয়
Dupayer,দুপায়ের
Satyendranarayan,সত্যেন্দ্রনারায়ণ
Tritiyang,তৃতীয়াং
Biswarecord e,বিশ্বরেকর্ডই
Bicharprokriyar,বিচারপ্রক্রিয়ার
kombeshi,কমবেশী
Sodbyabohar,সদ্‌ব্যবহার
kormoshala,কর্মশালা
pasta-,পাস্তা—
Bombs,বম্বস
Aryan,আরিয়ান
Jonomanob,জনমানব
Fandei,ফাঁদেই
Komolalebu,কমলালেবু
boipottor,বইপত্তরই
Anchtuku,আঁচটুকু
marale,মারালে
paddy,প্যাডি
1640,১৬৪০
dolbaji,দলবাজি
Mukhyomontritwo,মুখ্যমন্ত্রিত্ব
Sobukova,সোবুকোভা
"""Rupantorkami",“রূপান্তরকামী
Baroda,বরোদা
Madhuchondra,মধুচন্দ্রা
Rakshak,রক্ষক
Silmohor,সিলমোহর
80000,৮০০০০
solapur a,সোলাপুরে
plaza e,প্লাজাই
2011 saale,২০১১সালে
RANVEER,RANVEER
